ts,open,high,low,close,vol
1748450398,2634.66,2634.66,2634.41,2634.66,128.20999999999998
1748450402,2634.66,2634.67,2634.65,2634.66,517.7
1748450406,2634.66,2634.67,2634.66,2634.67,409.83
1748450410,2634.66,2635.38,2634.66,2634.67,1762.6
1748450414,2634.66,2634.84,2634.55,2634.84,294.81
1748450418,2634.84,2635.0,2634.83,2635.0,378.14
1748450422,2635.0,2635.6,2634.99,2635.59,2264.4700000000003
1748450426,2635.6,2635.6,2635.36,2635.36,340.20000000000005
1748450430,2635.37,2635.59,2635.37,2635.59,170.82000000000002
1748450434,2635.59,2635.59,2635.58,2635.59,125.45000000000002
1748450438,2635.59,2635.59,2635.58,2635.59,38.52
1748450442,2635.58,2635.78,2635.58,2635.77,277.81
1748450446,2635.78,2635.78,2634.66,2634.67,1946.67
1748450450,2634.67,2634.67,2634.66,2634.66,90.26
1748450454,2634.67,2634.67,2634.2,2634.2,228.27
1748450458,2634.2,2634.21,2634.2,2634.2,123.73
1748450462,2634.21,2634.21,2633.5,2633.64,3742.92
1748450466,2633.63,2634.53,2633.63,2634.53,1287.4
1748450470,2634.52,2635.17,2634.52,2634.63,822.14
1748450474,2634.64,2634.64,2634.63,2634.63,264.72
1748450478,2634.64,2634.9,2634.63,2634.9,59.18
1748450483,2634.9,2634.9,2634.89,2634.89,233.62
1748450487,2634.89,2634.9,2634.89,2634.9,468.0499999999999
1748450491,2634.92,2635.22,2634.53,2634.67,559.0999999999999
1748450495,2634.73,2634.83,2634.73,2634.83,193.46
1748450499,2634.83,2634.83,2634.82,2634.83,237.77
1748450505,2634.82,2634.83,2634.82,2634.82,117.73
1748450509,2634.83,2634.83,2634.82,2634.83,115.9
1748450513,2634.82,2634.82,2634.06,2634.49,754.24
1748450517,2634.49,2634.61,2634.49,2634.6,72.71000000000001
1748450522,2634.6,2634.76,2634.6,2634.75,156.87000000000003
1748450526,2634.75,2635.16,2634.75,2635.16,287.82000000000005
1748450530,2635.15,2635.15,2634.62,2634.92,271.70000000000005
1748450534,2634.92,2635.11,2634.92,2635.11,213.7
1748450538,2635.1,2635.43,2635.1,2635.43,386.91
1748450542,2635.44,2635.63,2635.35,2635.55,476.81000000000006
1748450546,2635.55,2635.87,2634.6,2635.01,1985.57
1748450550,2635.02,2635.02,2635.01,2635.02,777.6300000000001
1748450554,2635.02,2635.02,2635.01,2635.01,173.87999999999997
1748450558,2635.02,2635.43,2635.02,2635.43,132.57000000000002
1748450562,2635.42,2635.43,2635.42,2635.43,88.74000000000001
1748450566,2635.42,2635.55,2635.42,2635.54,104.74
1748450570,2635.54,2635.54,2635.08,2635.09,574.6299999999999
1748450574,2635.08,2635.09,2635.08,2635.08,19.79
1748450578,2635.08,2635.61,2634.78,2635.61,305.65999999999997
1748450582,2635.62,2635.73,2635.62,2635.73,100.11
1748450587,2635.72,2635.73,2635.26,2635.26,114.59
1748450591,2635.27,2635.36,2635.25,2635.36,205.46999999999997
1748450595,2635.37,2635.71,2635.37,2635.7,142.07000000000002
1748450599,2635.7,2635.71,2635.7,2635.7,732.8999999999999
1748450603,2635.71,2636.0,2635.71,2635.99,113.35
1748450607,2636.0,2636.18,2635.99,2636.18,496.94
1748450611,2636.18,2636.18,2635.87,2635.87,2010.87
1748450617,2635.87,2635.88,2635.87,2635.87,345.99999999999994
1748450621,2635.87,2635.88,2635.86,2635.86,232.14
1748450625,2635.87,2635.87,2635.55,2635.55,108.47
1748450629,2635.5,2635.5,2635.41,2635.41,60.190000000000005
1748450633,2635.42,2635.42,2635.06,2635.06,196.17
1748450637,2635.06,2635.07,2635.06,2635.06,229.87
1748450641,2635.06,2635.07,2635.06,2635.06,187.53000000000003
1748450645,2635.06,2635.68,2635.0,2635.68,418.48
1748450649,2635.69,2635.81,2635.51,2635.51,128.17000000000002
1748450653,2635.5,2635.51,2635.5,2635.51,60.7
1748450657,2635.51,2635.65,2635.51,2635.65,283.2
1748450661,2635.71,2635.76,2635.71,2635.76,368.11
1748450665,2635.76,2636.15,2635.75,2636.14,1248.14
1748450669,2636.14,2636.15,2635.2,2635.42,455.5499999999999
1748450673,2635.42,2635.42,2635.23,2635.24,80.82
1748450678,2635.36,2635.59,2635.2,2635.49,1356.57
1748450682,2635.5,2635.5,2635.49,2635.5,113.43
1748450686,2635.56,2635.83,2635.56,2635.82,289.01
1748450690,2635.83,2636.15,2635.83,2636.15,46.36
1748450694,2636.15,2636.64,2636.14,2636.64,619.53
1748450698,2636.64,2636.73,2636.63,2636.73,77.66
1748450702,2636.73,2636.96,2636.72,2636.96,150.5
1748450706,2636.96,2636.96,2636.95,2636.95,55.53
1748450710,2636.96,2636.96,2635.57,2635.81,844.6800000000001
1748450714,2635.81,2635.82,2635.6,2635.6,187.11
1748450718,2635.6,2635.6,2635.2,2635.2,732.36
1748450722,2635.21,2635.68,2634.72,2635.67,610.5699999999998
1748450726,2635.67,2635.79,2635.55,2635.79,44.73
1748450731,2635.79,2635.8,2635.64,2635.71,529.25
1748450735,2635.72,2635.92,2635.72,2635.81,267.38
1748450739,2635.8,2635.8,2634.61,2634.61,196.3
