datetime,action,price,amount,position_long,position_short,cash,margin,total_asset,pnl
2023-06-17 20:30:00,close_short,1738.43,-6,0,0,40400.04283006614,0.0,40400.04283006614,2755.9585359014286
2023-06-17 20:30:00,open_long,1738.43,6,6,0,29969.462830066135,10430.58,40400.04283006614,0.0
2023-06-22 07:30:00,close_long,2270.387053688551,-6,0,0,46783.527474328745,0.0,46783.527474328745,3191.742322131306
2023-06-22 07:30:00,open_short,2270.387053688551,6,0,6,46102.411358222176,681.1161161065653,46783.527474328745,0.0
2023-06-24 02:10:00,close_short,1903.59,-6,0,0,48984.309796460046,0.0,48984.309796460046,2200.782322131307
2023-06-24 02:10:00,open_long,1903.59,6,6,0,37562.769796460045,11421.539999999999,48984.309796460046,0.0
2023-06-28 05:15:00,close_long,2400.776817406911,-6,0,0,54950.551605342975,0.0,54950.551605342975,2983.120904441467
2023-06-28 05:15:00,open_short,2400.776817406911,6,0,6,54230.318560120904,720.2330452220733,54950.551605342975,0.0
2023-07-03 12:20:00,close_short,1946.0,-6,0,0,57679.21250978444,0.0,57679.21250978444,2728.6609044414663
2023-07-03 12:20:00,open_long,1946.0,6,6,0,46003.21250978444,11676.0,57679.21250978444,0.0
2023-07-16 17:25:00,close_long,3638.015008047372,-6,0,0,77983.39260635289,0.0,77983.39260635289,10152.09004828423
2023-07-16 17:25:00,open_short,3638.015008047372,6,0,6,76891.98810393868,1091.4045024142115,77983.39260635289,0.0
2023-07-19 16:40:00,close_short,1907.71,-6,0,0,88365.22265463712,0.0,88365.22265463712,10381.830048284231
2023-07-19 16:40:00,open_long,1907.71,6,6,0,76918.96265463713,11446.26,88365.22265463712,0.0
2023-07-21 20:45:00,close_long,3388.9116733055357,-6,0,0,106139.64273430356,0.0,106139.64273430356,8887.210039833215
2023-07-21 20:45:00,open_short,3388.9116733055357,6,0,6,105122.9692323119,1016.6735019916607,106139.64273430356,0.0
2023-07-24 01:45:00,close_short,1872.93,-6,0,0,115235.53277413677,0.0,115235.53277413677,9095.890039833213
2023-07-24 01:45:00,open_long,1872.93,6,6,0,103997.95277413676,11237.58,115235.53277413677,0.0
2023-07-25 08:40:00,close_long,3363.630796677999,-6,0,0,133123.94233427275,0.0,133123.94233427275,8944.204780067994
2023-07-25 08:40:00,open_short,3363.630796677999,6,0,6,132114.85309526935,1009.0892390033998,133123.94233427275,0.0
2023-07-30 17:20:00,close_short,1874.17,-6,0,0,142060.70711434074,0.0,142060.70711434074,8936.764780067995
